Date,Open,High,Low,Close
08/26/2019,11000.3,11070.3,10756.55,11057.85
08/23/2019,10699.6,10862.55,10637.15,10829.35
08/22/2019,10905.3,10908.25,10718.3,10741.35
08/21/2019,11018.15,11034.2,10906.65,10918.7
08/20/2019,11063.9,11076.3,10985.3,11017
08/19/2019,11094.8,11146.9,11037.85,11053.9
08/16/2019,11043.65,11068.65,10924.3,11047.8
08/14/2019,11003.25,11078.15,10935.6,11029.4
08/13/2019,11139.4,11145.9,10901.6,10925.85
08-09-2019,11087.9,11181.45,11062.8,11109.65
08-08-2019,10899.2,11058.05,10842.95,11032.45
08-07-2019,10958.1,10975.65,10835.9,10855.5
08-06-2019,10815.4,11018.55,10813.8,10948.25
08-05-2019,10895.8,10895.8,10782.6,10862.6
08-02-2019,10930.3,11080.15,10848.95,10997.35
08-01-2019,11060.2,11076.75,10881,10980
07/31/2019,11034.05,11145.3,10999.4,11118
07/30/2019,11213.7,11267.45,11072.65,11085.4
07/29/2019,11307.5,11310.95,11152.4,11189.2
07/26/2019,11247.45,11307.6,11210.05,11284.3
07/25/2019,11290.4,11361.4,11239.35,11252.15
07/24/2019,11322.45,11359.75,11229.8,11271.3
07/23/2019,11372.25,11398.15,11302.8,11331.05
07/22/2019,11392.85,11398.15,11301.25,11346.2
07/19/2019,11627.95,11640.35,11399.3,11419.25
07/18/2019,11675.6,11677.15,11582.4,11596.9
07/17/2019,11670.75,11706.65,11651.15,11687.5
07/16/2019,11596.65,11670.05,11573.95,11662.6
07/15/2019,11614.75,11618.4,11532.3,11588.35
07-12-2019,11601.15,11639.55,11538.6,11552.5
07-11-2019,11561.45,11599,11519.5,11582.9
07-10-2019,11536.15,11593.7,11475.65,11498.9
07-09-2019,11531.6,11582.55,11461,11555.9
07-08-2019,11770.4,11771.9,11523.3,11558.6
07-05-2019,11964.75,11981.75,11797.9,11811.15
07-04-2019,11928.8,11969.25,11923.65,11946.75
07-03-2019,11932.15,11945.2,11887.05,11916.75
